	H1-1L	H1-1S	H1-1SP	H1-3	H1-3P	H1-6	H1-6P	H2-3	H2-3P	H2-5	H2-5P	H2-8	K1-3	K1-3P	K2-2	N1-2
M02144:85:000000000-B48VY:1:1102:20628:5430;size=1;	0	0	0	0	0	0	0	59	28	0	0	1	20	0	0	0
M02144:85:000000000-B48VY:1:1102:20914:8777;size=1;	0	0	0	31	4	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:20946:21571;size=1;	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:20962:15055;size=1;	0	0	0	0	0	0	0	6	3	0	0	0	109	1	0	0
M02144:85:000000000-B48VY:1:1102:21447:15036;size=1;	0	0	0	2	0	0	0	0	0	0	9	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:21638:7725;size=1;	0	0	0	0	0	20	14	0	0	7	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:21678:4796;size=1;	0	0	0	0	1	0	0	0	0	2	0	0	3	6	0	2
M02144:85:000000000-B48VY:1:1102:22000:21895;size=1;	0	0	0	0	0	0	1	290	187	0	0	1	244	1	0	0
M02144:85:000000000-B48VY:1:1102:22032:11456;size=1;	1	0	0	0	0	0	0	0	0	0	1	0	37	27	0	0
M02144:85:000000000-B48VY:1:1102:22756:8820;size=1;	0	0	0	0	0	50	30	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23009:13277;size=1;	0	0	0	18	10	0	0	0	0	4	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23020:5366;size=1;	0	0	0	0	0	82	98	0	0	0	0	0	0	0	0	4
M02144:85:000000000-B48VY:1:1102:23371:14510;size=1;	4	1	1	7	5	4	2	8020	2595	2	5	61	12469	107	333	1
M02144:85:000000000-B48VY:1:1102:23581:11224;size=1;	0	0	1	1	0	48	53	24	20	0	0	36	20	284	0	0
M02144:85:000000000-B48VY:1:1102:23593:10151;size=1;	1	0	0	0	0	13	12	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23597:8719;size=1;	0	0	0	0	0	0	0	34	46	0	0	0	27	0	0	0
M02144:85:000000000-B48VY:1:1102:23805:20528;size=1;	0	30	1	1	1	0	0	8	0	0	0	267	0	0	27	0
M02144:85:000000000-B48VY:1:1102:23817:19708;size=1;	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23854:15601;size=1;	0	0	0	0	0	0	0	0	0	37	19	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23909:9249;size=1;	0	0	0	5	13	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23942:20185;size=1;	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:23950:20371;size=1;	0	0	0	7	7	0	0	1	0	753	11	1	0	0	0	0
M02144:85:000000000-B48VY:1:1102:24121:20333;size=1;	0	0	0	0	0	0	0	45	20	0	0	6	272	0	0	0
M02144:85:000000000-B48VY:1:1102:24627:21902;size=1;	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:1102:24802:10757;size=1;	0	0	0	0	0	0	0	19	6	0	0	0	22	0	0	0
M02144:85:000000000-B48VY:1:1102:25856:4432;size=1;	0	0	0	8	6	0	0	6	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:26237:15114;size=1;	0	0	0	0	1	47	51	0	0	0	0	1	5	7	0	0
M02144:85:000000000-B48VY:1:1102:27008:10676;size=1;	0	0	0	0	0	0	0	97	65	0	0	0	8	0	0	0
M02144:85:000000000-B48VY:1:1102:27380:15091;size=1;	1	0	0	0	0	930	7	0	0	0	0	0	0	1	2	23
M02144:85:000000000-B48VY:1:1102:27923:18701;size=1;	0	1	0	0	0	0	0	7	5	0	0	0	225	6	1	0
M02144:85:000000000-B48VY:1:1102:28001:14626;size=1;	0	0	0	0	0	28	18	0	0	4	0	1	0	0	213	0
M02144:85:000000000-B48VY:1:1102:28188:17437;size=1;	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:28235:18071;size=1;	0	0	0	0	0	1	2	0	0	21	0	10	0	0	0	1
M02144:85:000000000-B48VY:1:1102:28322:16393;size=1;	1	0	0	204	105	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:28724:12546;size=1;	0	0	0	502	394	0	0	0	0	0	1	0	0	0	0	0
